sourceUserId,displayName,email,phone,sourceRole,platformRole,supplierKind,supplierType,publicName,organizationName,organizationType,contactPersonName,city,area,latitude,longitude,preferredCategory,learnerType,interests,skillLevel,description,learnerBio,profileImageUrl,accountStatus,verificationStatus,organizationVerificationStatus,sourcePoints,createdAt,materialOwnerEligible
49,سليم سلامة,user49@impactloop.demo,+970596639317,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,ورشة الإبداع لتدوير الإلكترونيات,ورشة الإبداع لتدوير الإلكترونيات,WORKSHOP,سليم سلامة,قلقيلية,عزون,32.178018,34.966606,أجهزة إلكترونية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أجهزة إلكترونية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D9%84%D9%8A%D9%85%20%D8%B3%D9%84%D8%A7%D9%85%D8%A9,ACTIVE,APPROVED,VERIFIED,440,2025-08-05,true
50,جاد الأشقر,user50@impactloop.demo,+970568190929,مستفيد,LEARNER,,,,,,,أريحا,أريحا,31.857857,35.449834,ألعاب أطفال,COMMUNITY_MEMBER,art_crafts|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ألعاب أطفال.,https://api.dicebear.com/9.x/initials/png?seed=%D8%AC%D8%A7%D8%AF%20%D8%A7%D9%84%D8%A3%D8%B4%D9%82%D8%B1,ACTIVE,,,103,2025-01-09,false
51,فرح عمرو,user51@impactloop.demo,+970598072684,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,فرح عمرو,,,,بيت لحم,الدوحة,31.708064,35.206653,أثاث منزلي,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%81%D8%B1%D8%AD%20%D8%B9%D9%85%D8%B1%D9%88,ACTIVE,APPROVED,,250,2025-01-24,true
52,حمزة سلامة,user52@impactloop.demo,+970565148725,مستفيد,LEARNER,,,,,,,القدس,أبو ديس,31.76659,35.206084,كتب دراسية,COMMUNITY_MEMBER,education|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة كتب دراسية.,https://api.dicebear.com/9.x/initials/png?seed=%D8%AD%D9%85%D8%B2%D8%A9%20%D8%B3%D9%84%D8%A7%D9%85%D8%A9,ACTIVE,,,328,2025-03-08,false
53,ماهر الشريف,user53@impactloop.demo,+970595299055,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,ماهر الشريف,,,,أريحا,أريحا,31.864847,35.472875,أجهزة إلكترونية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أجهزة إلكترونية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%A7%D9%87%D8%B1%20%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81,ACTIVE,APPROVED,,320,2025-10-24,true
54,طارق صوالحة,user54@impactloop.demo,+970597296605,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,ورشة الصانع الصغير للحرف اليدوية,ورشة الصانع الصغير للحرف اليدوية,WORKSHOP,طارق صوالحة,جنين,جنين,32.468685,35.300635,ملابس,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة ملابس.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B7%D8%A7%D8%B1%D9%82%20%D8%B5%D9%88%D8%A7%D9%84%D8%AD%D8%A9,ACTIVE,APPROVED,VERIFIED,48,2025-10-23,true
55,علي صوالحة,user55@impactloop.demo,+970561689025,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,علي صوالحة,,,,القدس,القدس,31.761293,35.216683,أدوات مكتبية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%84%D9%8A%20%D8%B5%D9%88%D8%A7%D9%84%D8%AD%D8%A9,ACTIVE,APPROVED,,229,2025-11-12,true
56,فراس حداد,user56@impactloop.demo,+970592770648,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,ورشة النجاح لتدوير الأخشاب,ورشة النجاح لتدوير الأخشاب,WORKSHOP,فراس حداد,نابلس,نابلس,32.21972,35.254564,مواد بناء متبقية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة مواد بناء متبقية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%81%D8%B1%D8%A7%D8%B3%20%D8%AD%D8%AF%D8%A7%D8%AF,ACTIVE,APPROVED,VERIFIED,335,2025-08-23,true
57,باسل رجوب,user57@impactloop.demo,+970599111742,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,تعاونية الوفاء الزراعية,تعاونية الوفاء الزراعية,WORKSHOP,باسل رجوب,طوباس,طوباس,32.311494,35.381691,معدات رياضية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة معدات رياضية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A8%D8%A7%D8%B3%D9%84%20%D8%B1%D8%AC%D9%88%D8%A8,ACTIVE,APPROVED,VERIFIED,432,2025-12-19,true
58,فرح رشيد,user58@impactloop.demo,+970568796514,طالب,LEARNER,,,,,,,جنين,جبع,32.455971,35.311549,مواد خام,STUDENT,recycling|home_diy,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة مواد خام.,https://api.dicebear.com/9.x/initials/png?seed=%D9%81%D8%B1%D8%AD%20%D8%B1%D8%B4%D9%8A%D8%AF,ACTIVE,,,352,2025-07-11,false
59,سليم عبد اللطيف,user59@impactloop.demo,+970596709938,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,سليم عبد اللطيف,,,,طولكرم,فرعون,32.318317,35.037191,مواد خام,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة مواد خام.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D9%84%D9%8A%D9%85%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D9%84%D8%B7%D9%8A%D9%81,ACTIVE,APPROVED,,369,2025-05-18,true
60,مصعب دويكات,user60@impactloop.demo,+970595031966,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مركز الحرف الخضراء لإعادة الاستخدام,مركز الحرف الخضراء لإعادة الاستخدام,WORKSHOP,مصعب دويكات,جنين,زبوبا,32.470051,35.289681,ألعاب أطفال,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة ألعاب أطفال.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%B5%D8%B9%D8%A8%20%D8%AF%D9%88%D9%8A%D9%83%D8%A7%D8%AA,ACTIVE,APPROVED,VERIFIED,239,2025-01-03,true
61,مي دراوشة,user61@impactloop.demo,+970598939993,طالب,LEARNER,,,,,,,سلفيت,فرخة,32.086567,35.173231,أدوات مكتبية,STUDENT,art_crafts|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مكتبية.,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D9%8A%20%D8%AF%D8%B1%D8%A7%D9%88%D8%B4%D8%A9,ACTIVE,,,186,2025-07-24,false
62,آية حمد الله,user62@impactloop.demo,+970564231028,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,آية حمد الله,,,,قلقيلية,كفر ثلث,32.187593,34.959556,أثاث منزلي,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A2%D9%8A%D8%A9%20%D8%AD%D9%85%D8%AF%20%D8%A7%D9%84%D9%84%D9%87,ACTIVE,APPROVED,,390,2025-09-25,true
63,نضال عمرو,user63@impactloop.demo,+970592686548,مستفيد,LEARNER,,,,,,,بيت لحم,مرح معلا,31.712224,35.200409,أدوات مطبخ,COMMUNITY_MEMBER,home_diy|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مطبخ.,https://api.dicebear.com/9.x/initials/png?seed=%D9%86%D8%B6%D8%A7%D9%84%20%D8%B9%D9%85%D8%B1%D9%88,ACTIVE,,,126,2025-06-06,false
64,سارة نزال,user64@impactloop.demo,+970593118618,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,ورشة سند لتجديد الأثاث,ورشة سند لتجديد الأثاث,WORKSHOP,سارة نزال,طولكرم,عنبتا,32.320177,35.037843,أثاث منزلي,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D8%A7%D8%B1%D8%A9%20%D9%86%D8%B2%D8%A7%D9%84,ACTIVE,APPROVED,VERIFIED,456,2025-01-19,true
65,روان شلبي,user65@impactloop.demo,+970599014965,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,روان شلبي,,,,بيت لحم,بيت جالا,31.698945,35.197976,أثاث منزلي,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D9%88%D8%A7%D9%86%20%D8%B4%D9%84%D8%A8%D9%8A,ACTIVE,APPROVED,,215,2025-08-03,true
66,زيد حنون,user66@impactloop.demo,+970565163953,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,زيد حنون,,,,أريحا,أريحا,31.850719,35.457454,أدوات مكتبية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B2%D9%8A%D8%AF%20%D8%AD%D9%86%D9%88%D9%86,ACTIVE,APPROVED,,401,2025-07-20,true
67,مصعب فروانة,user67@impactloop.demo,+970598194570,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,مصعب فروانة,,,,بيت لحم,بيت لحم,31.715644,35.213546,مواد خام,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة مواد خام.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%B5%D8%B9%D8%A8%20%D9%81%D8%B1%D9%88%D8%A7%D9%86%D8%A9,ACTIVE,APPROVED,,327,2025-01-20,true
68,وائل عمرو,user68@impactloop.demo,+970565024269,مستفيد,LEARNER,,,,,,,قلقيلية,قلقيلية,32.189364,34.981262,أدوات مكتبية,COMMUNITY_MEMBER,art_crafts|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مكتبية.,https://api.dicebear.com/9.x/initials/png?seed=%D9%88%D8%A7%D8%A6%D9%84%20%D8%B9%D9%85%D8%B1%D9%88,ACTIVE,,,48,2025-03-01,false
69,وعد الحاج,user69@impactloop.demo,+970595743227,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مؤسسة الجسر لإعادة الاستخدام,مؤسسة الجسر لإعادة الاستخدام,WORKSHOP,وعد الحاج,بيت لحم,تقوع,31.71064,35.198749,أثاث منزلي,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%88%D8%B9%D8%AF%20%D8%A7%D9%84%D8%AD%D8%A7%D8%AC,ACTIVE,APPROVED,VERIFIED,361,2025-04-09,true
70,باسل الشريف,user70@impactloop.demo,+970593386328,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,باسل الشريف,,,,طوباس,الفارسية,32.315272,35.362626,كتب دراسية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة كتب دراسية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A8%D8%A7%D8%B3%D9%84%20%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81,ACTIVE,APPROVED,,94,2025-05-20,true
71,وعد الشريف,user71@impactloop.demo,+970595567533,طالب,LEARNER,,,,,,,بيت لحم,بيت لحم,31.695907,35.197112,أدوات مكتبية,STUDENT,art_crafts|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مكتبية.,https://api.dicebear.com/9.x/initials/png?seed=%D9%88%D8%B9%D8%AF%20%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81,ACTIVE,,,262,2025-08-03,false
72,باسل عبد اللطيف,user72@impactloop.demo,+970561348050,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,باسل عبد اللطيف,,,,أريحا,النويعمة,31.851334,35.461343,مواد خام,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة مواد خام.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A8%D8%A7%D8%B3%D9%84%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D9%84%D8%B7%D9%8A%D9%81,ACTIVE,APPROVED,,30,2025-03-16,true
73,إيمان رجوب,user73@impactloop.demo,+970568885465,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,إيمان رجوب,,,,أريحا,النبي موسى,31.85364,35.469637,معدات رياضية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة معدات رياضية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A5%D9%8A%D9%85%D8%A7%D9%86%20%D8%B1%D8%AC%D9%88%D8%A8,ACTIVE,APPROVED,,180,2025-06-22,true
74,طارق حداد,user74@impactloop.demo,+970597718473,طالب,LEARNER,,,,,,,الخليل,الخليل,31.526405,35.099999,كتب دراسية,STUDENT,education|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة كتب دراسية.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B7%D8%A7%D8%B1%D9%82%20%D8%AD%D8%AF%D8%A7%D8%AF,ACTIVE,,,242,2025-02-11,false
75,فرح الشريف,user75@impactloop.demo,+970568750676,منظمة شريكة,SUPPLIER,ORGANIZATION,EDUCATIONAL_INSTITUTION,مركز منارة للمستلزمات التعليمية المستدامة,مركز منارة للمستلزمات التعليمية المستدامة,EDUCATIONAL_INSTITUTION,فرح الشريف,الخليل,الخليل,31.522106,35.093035,كتب دراسية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة كتب دراسية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%81%D8%B1%D8%AD%20%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81,ACTIVE,APPROVED,VERIFIED,106,2025-09-12,true
76,وعد طنبور,user76@impactloop.demo,+970598350368,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مبادرة حياة ثانية لتبادل المواد,مبادرة حياة ثانية لتبادل المواد,WORKSHOP,وعد طنبور,سلفيت,دير استيا,32.092251,35.185577,أثاث منزلي,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%88%D8%B9%D8%AF%20%D8%B7%D9%86%D8%A8%D9%88%D8%B1,ACTIVE,APPROVED,VERIFIED,24,2025-11-20,true
77,وليد عياش,user77@impactloop.demo,+970592970754,مستفيد,LEARNER,,,,,,,جنين,اليامون,32.471484,35.310771,ألعاب أطفال,COMMUNITY_MEMBER,art_crafts|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ألعاب أطفال.,https://api.dicebear.com/9.x/initials/png?seed=%D9%88%D9%84%D9%8A%D8%AF%20%D8%B9%D9%8A%D8%A7%D8%B4,ACTIVE,,,487,2025-12-10,false
78,ريتاج شلبي,user78@impactloop.demo,+970567435505,مستفيد,LEARNER,,,,,,,بيت لحم,زعترة,31.709265,35.203702,مواد خام,COMMUNITY_MEMBER,recycling|home_diy,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة مواد خام.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D9%8A%D8%AA%D8%A7%D8%AC%20%D8%B4%D9%84%D8%A8%D9%8A,ACTIVE,,,270,2025-12-05,false
79,رامي عياش,user79@impactloop.demo,+970591043037,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,رامي عياش,,,,رام الله والبيرة,رام الله والبيرة,31.89908,35.200306,أدوات مطبخ,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أدوات مطبخ.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D8%A7%D9%85%D9%8A%20%D8%B9%D9%8A%D8%A7%D8%B4,ACTIVE,APPROVED,,438,2025-10-19,true
80,دانا حسين,user80@impactloop.demo,+970598639414,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,دانا حسين,,,,طوباس,كردلة,32.314558,35.358094,ملابس,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة ملابس.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%AF%D8%A7%D9%86%D8%A7%20%D8%AD%D8%B3%D9%8A%D9%86,ACTIVE,APPROVED,,367,2025-04-19,true
81,مي عياش,user81@impactloop.demo,+970597477326,مستفيد,LEARNER,,,,,,,نابلس,بيت وزن,32.224709,35.263055,ألعاب أطفال,COMMUNITY_MEMBER,art_crafts|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ألعاب أطفال.,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D9%8A%20%D8%B9%D9%8A%D8%A7%D8%B4,ACTIVE,,,28,2025-03-17,false
82,نور حسين,user82@impactloop.demo,+970563418526,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,ورشة نبض لتجديد الأدوات,ورشة نبض لتجديد الأدوات,WORKSHOP,نور حسين,جنين,جبع,32.469769,35.30739,أجهزة إلكترونية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أجهزة إلكترونية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%86%D9%88%D8%B1%20%D8%AD%D8%B3%D9%8A%D9%86,ACTIVE,APPROVED,VERIFIED,48,2025-08-26,true
83,دعاء نوفل,user83@impactloop.demo,+970599952696,منظمة شريكة,SUPPLIER,ORGANIZATION,FACTORY,مصنع الرواد لفوائض الأخشاب,مصنع الرواد لفوائض الأخشاب,FACTORY,دعاء نوفل,الخليل,الخليل,31.521732,35.093508,مواد بناء متبقية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة مواد بناء متبقية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%AF%D8%B9%D8%A7%D8%A1%20%D9%86%D9%88%D9%81%D9%84,ACTIVE,APPROVED,VERIFIED,330,2025-12-25,true
84,لارا دراغمة,user84@impactloop.demo,+970562516313,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مؤسسة روافد للموارد المستدامة,مؤسسة روافد للموارد المستدامة,WORKSHOP,لارا دراغمة,أريحا,مرج نعجة,31.863713,35.472764,أثاث منزلي,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%84%D8%A7%D8%B1%D8%A7%20%D8%AF%D8%B1%D8%A7%D8%BA%D9%85%D8%A9,ACTIVE,APPROVED,VERIFIED,399,2025-11-23,true
85,مراد جرادات,user85@impactloop.demo,+970566442103,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,مراد جرادات,,,,قلقيلية,قلقيلية,32.193451,34.973023,أدوات مطبخ,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أدوات مطبخ.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%B1%D8%A7%D8%AF%20%D8%AC%D8%B1%D8%A7%D8%AF%D8%A7%D8%AA,ACTIVE,APPROVED,,193,2025-06-14,true
86,معاذ سلايمة,user86@impactloop.demo,+970563851852,مستفيد,LEARNER,,,,,,,الخليل,الخليل,31.541526,35.094867,أثاث منزلي,COMMUNITY_MEMBER,woodworking|home_diy|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أثاث منزلي.,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%B9%D8%A7%D8%B0%20%D8%B3%D9%84%D8%A7%D9%8A%D9%85%D8%A9,ACTIVE,,,322,2025-07-20,false
87,سليم الأشقر,user87@impactloop.demo,+970595283671,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,سليم الأشقر,,,,طولكرم,شويكة,32.322386,35.036623,ألعاب أطفال,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة ألعاب أطفال.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D9%84%D9%8A%D9%85%20%D8%A7%D9%84%D8%A3%D8%B4%D9%82%D8%B1,ACTIVE,APPROVED,,471,2025-05-22,true
88,يوسف حسين,user88@impactloop.demo,+970598118722,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,يوسف حسين,,,,رام الله والبيرة,رام الله والبيرة,31.901414,35.207487,ألعاب أطفال,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة ألعاب أطفال.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%8A%D9%88%D8%B3%D9%81%20%D8%AD%D8%B3%D9%8A%D9%86,ACTIVE,APPROVED,,442,2025-05-07,true
89,روان قاسم,user89@impactloop.demo,+970595953150,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,روان قاسم,,,,سلفيت,مسحة,32.082902,35.18059,معدات رياضية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة معدات رياضية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D9%88%D8%A7%D9%86%20%D9%82%D8%A7%D8%B3%D9%85,ACTIVE,APPROVED,,150,2025-01-19,true
90,هادي الأغا,user90@impactloop.demo,+970566910964,مستفيد,LEARNER,,,,,,,قلقيلية,قلقيلية,32.182852,34.967395,ملابس,COMMUNITY_MEMBER,fabric_textiles|art_crafts|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ملابس.,https://api.dicebear.com/9.x/initials/png?seed=%D9%87%D8%A7%D8%AF%D9%8A%20%D8%A7%D9%84%D8%A3%D8%BA%D8%A7,ACTIVE,,,327,2025-05-22,false
91,علي دراغمة,user91@impactloop.demo,+970567121355,مستفيد,LEARNER,,,,,,,قلقيلية,قلقيلية,32.185238,34.979085,أثاث منزلي,COMMUNITY_MEMBER,woodworking|home_diy|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أثاث منزلي.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%84%D9%8A%20%D8%AF%D8%B1%D8%A7%D8%BA%D9%85%D8%A9,ACTIVE,,,475,2025-05-11,false
92,ليان دويكات,user92@impactloop.demo,+970599906224,طالب,LEARNER,,,,,,,طولكرم,طولكرم,32.311136,35.017509,أدوات مطبخ,STUDENT,home_diy|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مطبخ.,https://api.dicebear.com/9.x/initials/png?seed=%D9%84%D9%8A%D8%A7%D9%86%20%D8%AF%D9%88%D9%8A%D9%83%D8%A7%D8%AA,ACTIVE,,,435,2025-03-09,false
93,سلمى حداد,user93@impactloop.demo,+970564785186,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,جمعية أثر لإعادة الاستخدام المجتمعي,جمعية أثر لإعادة الاستخدام المجتمعي,WORKSHOP,سلمى حداد,جنين,اليامون,32.464631,35.300372,أدوات مكتبية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D9%84%D9%85%D9%89%20%D8%AD%D8%AF%D8%A7%D8%AF,ACTIVE,APPROVED,VERIFIED,197,2025-02-26,true
94,سارة عبد الهادي,user94@impactloop.demo,+970597392547,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,سارة عبد الهادي,,,,طوباس,كردلة,32.329169,35.375679,أثاث منزلي,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D8%A7%D8%B1%D8%A9%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D9%87%D8%A7%D8%AF%D9%8A,ACTIVE,APPROVED,,355,2025-04-16,true
95,جهاد أبو زنط,user95@impactloop.demo,+970562060605,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مبادرة أرضنا الخضراء,مبادرة أرضنا الخضراء,WORKSHOP,جهاد أبو زنط,رام الله والبيرة,رام الله والبيرة,31.897637,35.197211,أدوات مطبخ,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أدوات مطبخ.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%AC%D9%87%D8%A7%D8%AF%20%D8%A3%D8%A8%D9%88%20%D8%B2%D9%86%D8%B7,ACTIVE,APPROVED,VERIFIED,342,2025-07-04,true
96,خالد دراغمة,user96@impactloop.demo,+970562630611,مستفيد,LEARNER,,,,,,,قلقيلية,قلقيلية,32.187881,34.981237,أدوات مكتبية,COMMUNITY_MEMBER,art_crafts|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مكتبية.,https://api.dicebear.com/9.x/initials/png?seed=%D8%AE%D8%A7%D9%84%D8%AF%20%D8%AF%D8%B1%D8%A7%D8%BA%D9%85%D8%A9,ACTIVE,,,79,2025-07-15,false
